date,m2_yoy
2026-04-01,8.6
2026-03-01,8.5
2026-02-01,9.0
2026-01-01,9.0
2025-12-01,8.5
2025-11-01,8.0
2025-10-01,8.2
2025-09-01,8.4
2025-08-01,8.8
2025-07-01,8.8
2025-06-01,8.3
2025-05-01,7.9
2025-04-01,8.0
2025-03-01,7.0
2025-02-01,7.0
2025-01-01,7.0
2024-12-01,7.3
2024-11-01,7.1
2024-10-01,7.5
2024-09-01,6.8
2024-08-01,6.3
2024-07-01,6.3
2024-06-01,6.2
2024-05-01,7.0
2024-04-01,7.2
2024-03-01,8.3
2024-02-01,8.7
2024-01-01,8.7
2023-12-01,9.7
2023-11-01,10.0
2023-10-01,10.3
2023-09-01,10.3
2023-08-01,10.6
2023-07-01,10.7
2023-06-01,11.3
2023-05-01,11.6
2023-04-01,12.4
2023-03-01,12.7
2023-02-01,12.9
2023-01-01,12.6
2022-12-01,11.8
2022-11-01,12.4
2022-10-01,11.8
2022-09-01,12.1
2022-08-01,12.2
2022-07-01,12.0
2022-06-01,11.4
2022-05-01,11.1
2022-04-01,10.5
2022-03-01,9.7
2022-02-01,9.2
2022-01-01,9.8
2021-12-01,9.0
2021-11-01,8.5
2021-10-01,8.7
2021-09-01,8.3
2021-08-01,8.2
2021-07-01,8.3
2021-06-01,8.6
2021-05-01,8.3
2021-04-01,8.1
2021-03-01,9.4
2021-02-01,10.1
2021-01-01,9.4
2020-12-01,10.1
2020-11-01,10.7
2020-10-01,10.5
2020-09-01,10.9
2020-08-01,10.4
2020-07-01,10.7
2020-06-01,11.1
2020-05-01,11.1
2020-04-01,11.1
2020-03-01,10.1
2020-02-01,8.8
2020-01-01,8.4
2019-12-01,8.7
2019-11-01,8.2
2019-10-01,8.4
2019-09-01,8.4
2019-08-01,8.2
2019-07-01,8.1
2019-06-01,8.5
2019-05-01,8.5
2019-04-01,8.5
2019-03-01,8.6
2019-02-01,8.0
2019-01-01,8.4
2018-12-01,8.1
2018-11-01,8.0
2018-10-01,8.0
2018-09-01,8.3
2018-08-01,8.2
2018-07-01,8.5
2018-06-01,8.0
2018-05-01,8.3
2018-04-01,8.3
2018-03-01,8.2
2018-02-01,8.8
2018-01-01,8.6
2017-12-01,8.0654
2017-11-01,9.1148
2017-10-01,8.8771
2017-09-01,8.976
2017-08-01,8.5633
2017-07-01,8.89
2017-06-01,9.1013
2017-05-01,9.1289
2017-04-01,9.8426
2017-03-01,10.1178
2017-02-01,10.45
2017-01-01,10.7032
2016-12-01,11.3
2016-11-01,11.4
2016-10-01,11.6
2016-09-01,11.5
2016-08-01,11.4
2016-07-01,10.2
2016-06-01,11.8
2016-05-01,11.8
2016-04-01,12.8
2016-03-01,13.4
2016-02-01,13.3
2016-01-01,14.0
2015-12-01,13.3
2015-11-01,13.7
2015-10-01,13.5
2015-09-01,13.1
2015-08-01,13.3
2015-07-01,13.3
2015-06-01,11.8
2015-05-01,10.8
2015-04-01,10.1
2015-03-01,11.6
2015-02-01,12.5
2015-01-01,10.8
2014-12-01,12.2
2014-11-01,12.3
2014-10-01,12.6
2014-09-01,12.9
2014-08-01,12.8
2014-07-01,13.5
2014-06-01,14.7
2014-05-01,13.4
2014-04-01,13.2
2014-03-01,12.1
2014-02-01,13.3
2014-01-01,13.2
2013-12-01,13.6
2013-11-01,14.2
2013-10-01,14.3
2013-09-01,14.2
2013-08-01,14.7
2013-07-01,14.5
2013-06-01,14.0
2013-05-01,15.8
2013-04-01,16.1
2013-03-01,15.7
2013-02-01,15.2
2013-01-01,15.9
2012-12-01,13.8
2012-11-01,13.9
2012-10-01,14.1
2012-09-01,14.8
2012-08-01,13.5
2012-07-01,13.9
2012-06-01,13.6
2012-05-01,13.2
2012-04-01,12.8
2012-03-01,13.4
2012-02-01,13.0
2012-01-01,12.4
2011-12-01,13.6
2011-11-01,12.7
2011-10-01,12.9
2011-09-01,13.04
2011-08-01,13.5
2011-07-01,14.7
2011-06-01,15.9
2011-05-01,15.1
2011-04-01,15.3
2011-03-01,16.6
2011-02-01,15.7
2011-01-01,17.2
2010-12-01,19.7
2010-11-01,19.5
2010-10-01,19.3
2010-09-01,19.0
2010-08-01,19.2
2010-07-01,17.6
2010-06-01,18.5
2010-05-01,21.0
2010-04-01,21.48
2010-03-01,22.5
2010-02-01,25.52
2010-01-01,25.98
2009-12-01,27.68
2009-11-01,29.74
2009-10-01,29.42
2009-09-01,29.31
2009-08-01,28.53
2009-07-01,28.42
2009-06-01,28.46
2009-05-01,25.74
2009-04-01,25.95
2009-03-01,25.51
2009-02-01,20.48
2009-01-01,18.79
2008-12-01,17.82
2008-11-01,14.8
2008-10-01,15.02
2008-09-01,15.29
2008-08-01,16.0
2008-07-01,16.35
2008-06-01,17.37
2008-05-01,18.07
2008-04-01,16.94
2008-03-01,16.19
2008-02-01,17.39
2008-01-01,18.88
